Date,open,high,low,Close,volume
17-09-2019,206.43,226.42,204.22,220.7,294696987
30-08-2019,213.9,218.03,192.58,208.74,681074600
31-07-2019,203.17,221.37,198.41,213.04,473957000
28-06-2019,175.6,201.57,170.27,197.92,515218700
31-05-2019,209.88,215.31,174.99,175.07,739456600
30-04-2019,191.64,208.48,188.38,200.67,506117700
29-03-2019,174.28,197.69,169.5,189.95,650981400
28-02-2019,166.96,175.87,165.9333,173.15,472540600
31-01-2019,154.89,169,142,166.44,828087400
31-12-2018,184.46,184.94,146.59,157.74,898922500
30-11-2018,219.05,222.36,170.26,178.58,961326400
31-10-2018,227.95,233.47,206.09,218.86,789748500
28-09-2018,228.41,229.67,215.3,225.74,678972000
31-08-2018,199.13,228.87,197.31,227.63,700318900
31-07-2018,183.82,195.96,183.4135,190.29,393691400
29-06-2018,187.991,194.2,180.73,185.11,527624500
31-05-2018,166.41,190.37,165.27,186.87,620976300
30-04-2018,167.88,178.936,160.63,165.26,666154300
29-03-2018,178.54,183.5,164.94,167.78,713727700
28-02-2018,167.165,180.615,150.24,178.12,927894300
31-01-2018,170.16,180.1,164.7,167.43,659679400
29-12-2017,169.95,177.2,166.46,169.23,531183800
30-11-2017,169.87,176.24,165.28,171.85,600663400
31-10-2017,154.26,169.65,152.46,169.04,504291300
29-09-2017,164.8,164.94,149.16,154.12,680374100
31-08-2017,149.1,164.52,148.41,164,661069000
31-07-2017,144.88,153.99,142.41,148.73,422011900
30-06-2017,153.17,155.98,142.2,144.02,684178100
31-05-2017,145.1,156.6409,144.27,152.76,653981800
28-04-2017,143.71,145.46,140.06,143.65,373304100
31-03-2017,137.89,144.5,137.05,143.66,561628400
28-02-2017,127.03,137.48,127.01,136.99,574968600
31-01-2017,115.8,122.44,114.76,121.35,563122000
30-12-2016,110.365,118.017,108.25,115.82,608771700
30-11-2016,113.46,113.77,104.08,110.52,721555000
31-10-2016,112.71,118.69,112.28,113.54,686914300
30-09-2016,106.14,116.18,102.53,113.05,968015600
31-08-2016,104.41,110.23,104.0062,106.1,630128500
29-07-2016,95.49,104.55,94.37,104.21,685779600
30-06-2016,99.02,101.89,91.5,95.6,779497700
31-05-2016,93.965,100.73,89.47,99.86,900671500
29-04-2016,108.78,112.39,92.5119,93.74,872383700
31-03-2016,97.65,110.42,97.4141,108.99,746049600
29-02-2016,96.47,98.89,92.5937,96.69,810862600
29-01-2016,102.61,105.85,92.39,97.34,1271848000
31-12-2015,118.75,119.86,104.82,105.26,921915200
30-11-2015,119.87,123.82,111,118.3,750640600
30-10-2015,109.07,121.22,107.31,119.5,1112512100
30-09-2015,110.15,116.89,107.36,110.3,1206547300
31-08-2015,121.5,122.57,92,112.76,1606819100
31-07-2015,126.9,132.97,119.22,121.3,1058280600
30-06-2015,131.2,131.39,124.48,125.425,878606700
29-05-2015,126.1,132.97,123.36,130.28,954152100
30-04-2015,124.82,134.54,123.1,125.15,996135500
31-03-2015,129.25,130.28,121.63,124.43,1138642100
27-02-2015,118.05,133.6,116.08,128.46,1136535200
30-01-2015,111.39,120,104.63,117.16,1305263400
31-12-2014,118.81,119.25,106.26,110.38,1073594600
28-11-2014,108.2221,119.75,107.72,118.93,820408200
31-10-2014,100.59,108.04,95.18,108,1360280200
30-09-2014,103.06,103.74,96.14,100.75,1526420000
29-08-2014,94.9,102.9,93.28,102.5,937077000
31-07-2014,93.52,99.44,92.57,95.6,1035086000
30-06-2014,633.96,651.26,89.65,92.93,1206934800
30-05-2014,592,644.17,580.33,633,1433917100
30-04-2014,537.76,599.43,511.33,590.09,1608765200
31-03-2014,523.42,549,522.81,536.74,1250424700
28-02-2014,502.61,551.19,499.3,526.24,1470091700
31-01-2014,555.68,560.2,493.55,500.6,2191488600
31-12-2013,557.963,575.0961,538.8,561.02,1764349300
29-11-2013,524.02,558.33,512.38,556.07,1306288900
31-10-2013,478.45,539.25,478.28,522.702,1959433000
30-09-2013,493.1,507.92,447.22,476.75,2157735300
30-08-2013,455.753,513.74,453.26,487.216,2014584600
31-07-2013,402.69,457.371,401.22,452.53,1634528700
28-06-2013,450.73,454.4095,388.87,396.53,1754634000
31-05-2013,444.46,465.75,418.9,449.735,2361882600
30-04-2013,441.9,445.25,385.1,442.78,2740872400
28-03-2013,438,469.95,419,442.66,2294219200
28-02-2013,459.11,484.94,437.66,441.4,2336008500
31-01-2013,553.82,555,435,455.49,3280855900
31-12-2012,593.65,594.59,501.23,532.173,3033188200
30-11-2012,598.22,603,505.75,585.28,3232462800
31-10-2012,671.16,676.75,587.7,595.32,3035707500
28-09-2012,665.6834,705.07,656,667.105,2299751300
31-08-2012,615.905,680.87,600.25,665.24,2069051600
31-07-2012,584.73,619.87,570,610.76,2227412600
29-06-2012,569.16,590,548.5,584,1963956400
31-05-2012,584.9,596.76,522.18,577.73,2776586400
30-04-2012,601.83,644,555,583.98,3899747600
30-03-2012,548.17,621.45,516.221,599.55,3896084500
29-02-2012,458.41,547.61,453.98,542.44,2842138600
31-01-2012,409.4,458.24,409.0243,456.48,1714963600
30-12-2011,382.54,409.09,377.68,405,1576633100
30-11-2011,397.41,408,363.32,382.2,2240925400
31-10-2011,380.37,426.7,354.24,404.78,3285356900
30-09-2011,385.82,422.86,366.48,381.32,2994362000
31-08-2011,397.7667,399.5,353.02,384.83,4035649800
29-07-2011,335.95,404.5,334.2,390.48,2663486700
30-06-2011,348.87,352.132,310.5,335.67,2315962600
31-05-2011,349.74,351.83,329.42,347.83,1728015100
29-04-2011,351.11,355.13,320.16,350.13,2313457300
31-03-2011,355.47,361.67,326.26,348.507,2826614700
28-02-2011,341.3,364.9,337.72,353.21,2323987400
31-01-2011,325.64,348.6,324.837,339.32,2710383900
31-12-2010,315.27,326.66,314.89,322.56,1743308700
30-11-2010,302.22,321.3,297.76,311.15,2377021500
29-10-2010,286.146,319,277.77,300.98,3058644400
30-09-2010,247.47,294.73,246.28,283.75,2962479800
31-08-2010,260.44,264.28,235.56,243.1,2397280200
30-07-2010,254.3,265.99,239.6,257.25,3917426100
30-06-2010,259.69,279.01,242.2,251.53,4162813200
28-05-2010,263.8228,267.88,199.25,256.88,4520663700
30-04-2010,237.49,272.46,232.75,261.09,3091782400
31-03-2010,205.75,237.48,205.45,235,3038543200
26-02-2010,192.3612,205.17,190.85,204.62,2694020000
29-01-2010,213.43,215.59,190.25,192.063,3792248600
31-12-2009,202.24,213.95,188.68,210.732,2848489700
30-11-2009,189.8,208,185.57,199.91,2113696200
30-10-2009,185.35,208.71,180.7168,188.5,3239044200
30-09-2009,167.99,188.9,164.11,185.35,2497329800
31-08-2009,165.21,172.49,159.42,168.21,2041281200
31-07-2009,143.5,165,134.4102,163.39,2735534200
30-06-2009,136.47,146.4,132.88,142.43,3168893000
29-05-2009,125.8,135.9,119.38,135.81,2364285700
30-04-2009,104.09,127.2,103.89,125.83,2955420300
31-03-2009,88.12,109.98,82.33,105.12,3856149500
27-02-2009,89.1,103.0032,86.51,89.31,3466862700
30-01-2009,85.88,97.17,78.2,90.13,4526435200
31-12-2008,91.3,103.6,84.55,85.35,5053461700
28-11-2008,105.93,111.79,79.14,92.67,5904865400
31-10-2008,111.92,116.4,85,107.59,10356677800
30-09-2008,172.4,173.5,100.59,113.66,6016890600
29-08-2008,159.9,180.45,152.91,169.53,3271438800
31-07-2008,164.23,180.91,146.53,158.95,4937440200
30-06-2008,188.6,189.95,164.15,167.44,4868948700
30-05-2008,174.96,192.24,172,188.75,4647053600
30-04-2008,146.3,180,143.61,173.95,5696745600
31-03-2008,124.44,145.74,118,143.5,5731818400
29-02-2008,136.24,136.59,115.44,125.02,6216488600
31-01-2008,199.27,200.26,126.14,135.36,8793472100
31-12-2007,181.8594,202.96,176.99,198.08,4313169700
30-11-2007,188.6,192.68,150.63,182.22,6549947600
31-10-2007,154.63,190.12,152.93,189.95,5819447900
28-09-2007,139.94,155,130,153.47,5232805900
31-08-2007,133.64,139.65,111.62,138.48,6090199500
31-07-2007,121.05,148.92,119.3,131.76,6004643400
29-06-2007,121.1,127.61,115.4,122.04,5819885400
31-05-2007,99.59,122.17,98.55,121.191,4341267000
30-04-2007,94.14,102.5,89.6,99.8,3364935000
30-03-2007,84.03,96.83,83.75,92.91,3979661000
28-02-2007,86.23,90.81,82.86,84.61,3430588700
31-01-2007,86.2948,97.8,81.9,85.73,6802445300
29-12-2006,91.8,92.33,76.77,84.84,4222698200
30-11-2006,81.1,93.159,77.79,91.66,3458721000
31-10-2006,75.1,82.6,72.6,81.08,3596989200
29-09-2006,68.48,77.78,67.82,76.98,4430389600
31-08-2006,67.22,70,62.58,67.85,4471911500
